MADISON,FEMALE,BLACK NON HISPANIC,176,43,1,0.03995,39.94553
ETHAN,MALE,ASIAN AND PACIFIC ISLANDER,177,41,1,0.03811,38.10549
JAYDEN,MALE,ASIAN AND PACIFIC ISLANDER,173,45,2,0.03724,37.24435
SOPHIA,FEMALE,ASIAN AND PACIFIC ISLANDER,119,95,1,0.03482,34.81568
RYAN,MALE,ASIAN AND PACIFIC ISLANDER,150,64,3,0.03229,32.29279
ISABELLA,FEMALE,HISPANIC,331,2,1,0.03188,31.87903
CHLOE,FEMALE,ASIAN AND PACIFIC ISLANDER,106,111,2,0.03101,31.01229
JAYDEN,MALE,HISPANIC,426,1,1,0.03030,30.30087
JAYDEN,MALE,BLACK NON HISPANIC,184,30,1,0.02999,29.99185
AIDEN,MALE,BLACK NON HISPANIC,167,51,2,0.02722,27.22086
EMILY,FEMALE,ASIAN AND PACIFIC ISLANDER,93,145,3,0.02721,27.20889
OLIVIA,FEMALE,ASIAN AND PACIFIC ISLANDER,89,157,4,0.02604,26.03862
ELIJAH,MALE,BLACK NON HISPANIC,156,60,3,0.02543,25.42787
JEREMIAH,MALE,BLACK NON HISPANIC,153,61,4,0.02494,24.93888
JUSTIN,MALE,ASIAN AND PACIFIC ISLANDER,110,105,4,0.02368,23.68138
LUCAS,MALE,ASIAN AND PACIFIC ISLANDER,103,115,5,0.02217,22.17438
MIA,FEMALE,HISPANIC,229,14,2,0.02206,22.05528
JUSTIN,MALE,HISPANIC,310,3,2,0.02205,22.04993
EMMA,FEMALE,ASIAN AND PACIFIC ISLANDER,75,194,5,0.02194,21.94266
JACOB,MALE,HISPANIC,303,4,3,0.02155,21.55203
SOPHIA,FEMALE,HISPANIC,223,17,3,0.02148,21.47742
MICHAEL,MALE,WHITE NON HISPANIC,292,5,1,0.02147,21.47375
JASON,MALE,ASIAN AND PACIFIC ISLANDER,98,134,6,0.02110,21.09795
LONDON,FEMALE,BLACK NON HISPANIC,92,148,2,0.02088,20.88062
JOSHUA,MALE,BLACK NON HISPANIC,128,78,5,0.02086,20.86390
AIDEN,MALE,ASIAN AND PACIFIC ISLANDER,96,137,7,0.02067,20.66738
JOSEPH,MALE,WHITE NON HISPANIC,281,6,2,0.02066,20.66480
ETHAN,MALE,BLACK NON HISPANIC,124,86,6,0.02021,20.21190
ESTHER,FEMALE,WHITE NON HISPANIC,224,15,1,0.01986,19.85816
KEVIN,MALE,ASIAN AND PACIFIC ISLANDER,92,149,8,0.01981,19.80624
JOSIAH,MALE,BLACK NON HISPANIC,121,92,7,0.01972,19.72290
MATTHEW,MALE,HISPANIC,276,7,4,0.01963,19.63155
ISABELLA,FEMALE,ASIAN AND PACIFIC ISLANDER,67,231,6,0.01960,19.60211
JACOB,MALE,WHITE NON HISPANIC,265,8,3,0.01949,19.48816
DAVID,MALE,WHITE NON HISPANIC,258,9,4,0.01897,18.97338
EMMA,FEMALE,WHITE NON HISPANIC,213,20,2,0.01888,18.88298
OLIVIA,FEMALE,WHITE NON HISPANIC,213,21,2,0.01888,18.88298
ERIC,MALE,ASIAN AND PACIFIC ISLANDER,85,165,9,0.01830,18.29925
ASHLEY,FEMALE,HISPANIC,190,25,4,0.01830,18.29914
CAMILA,FEMALE,HISPANIC,188,28,5,0.01811,18.10652
DANIEL,MALE,ASIAN AND PACIFIC ISLANDER,84,170,10,0.01808,18.08396
ANGEL,MALE,HISPANIC,253,10,5,0.01800,17.99559
ETHAN,MALE,HISPANIC,251,11,6,0.01785,17.85333
KAYLA,FEMALE,BLACK NON HISPANIC,78,185,3,0.01770,17.70313
ISAIAH,MALE,BLACK NON HISPANIC,105,112,8,0.01711,17.11491
CHRISTOPHER,MALE,HISPANIC,239,12,7,0.01700,16.99979
BENJAMIN,MALE,WHITE NON HISPANIC,230,13,5,0.01691,16.91425
MOSHE,MALE,WHITE NON HISPANIC,224,16,6,0.01647,16.47301
TYLER,MALE,BLACK NON HISPANIC,101,124,9,0.01646,16.46292
MUHAMMAD,MALE,ASIAN AND PACIFIC ISLANDER,76,191,11,0.01636,16.36168
CHLOE,FEMALE,BLACK NON HISPANIC,72,204,4,0.01634,16.34135
LEAH,FEMALE,WHITE NON HISPANIC,183,32,3,0.01622,16.22340
SOPHIA,FEMALE,WHITE NON HISPANIC,180,38,4,0.01596,15.95745
MATTHEW,MALE,ASIAN AND PACIFIC ISLANDER,74,198,12,0.01593,15.93111
SOFIA,FEMALE,HISPANIC,165,53,6,0.01589,15.89136
TIFFANY,FEMALE,ASIAN AND PACIFIC ISLANDER,54,294,7,0.01580,15.79871
CHAYA,FEMALE,WHITE NON HISPANIC,178,39,5,0.01578,15.78014
DANIEL,MALE,HISPANIC,221,18,8,0.01572,15.71947
SARAH,FEMALE,WHITE NON HISPANIC,177,42,6,0.01569,15.69149
AALIYAH,FEMALE,BLACK NON HISPANIC,69,223,5,0.01566,15.66046
EMILY,FEMALE,HISPANIC,162,54,7,0.01560,15.60243
ALEXANDER,MALE,HISPANIC,219,19,9,0.01558,15.57721
DANIEL,MALE,WHITE NON HISPANIC,210,22,7,0.01544,15.44345
VINCENT,MALE,ASIAN AND PACIFIC ISLANDER,71,210,13,0.01529,15.28525
ASHLEY,FEMALE,ASIAN AND PACIFIC ISLANDER,52,312,8,0.01521,15.21358
MAKAYLA,FEMALE,BLACK NON HISPANIC,67,232,6,0.01521,15.20654
RACHEL,FEMALE,WHITE NON HISPANIC,171,49,7,0.01516,15.15957
MICHAEL,MALE,BLACK NON HISPANIC,93,146,10,0.01516,15.15892
ANDREW,MALE,ASIAN AND PACIFIC ISLANDER,70,218,14,0.01507,15.06997
CHRISTIAN,MALE,BLACK NON HISPANIC,91,154,11,0.01483,14.83293
NOAH,MALE,BLACK NON HISPANIC,91,155,11,0.01483,14.83293
ANTHONY,MALE,HISPANIC,207,23,10,0.01472,14.72366
AMIR,MALE,BLACK NON HISPANIC,89,158,12,0.01451,14.50693
ALEXANDER,MALE,WHITE NON HISPANIC,197,24,8,0.01449,14.48742
AVA,FEMALE,WHITE NON HISPANIC,162,55,8,0.01436,14.36170
AYDEN,MALE,BLACK NON HISPANIC,88,160,13,0.01434,14.34393
IVAN,MALE,ASIAN AND PACIFIC ISLANDER,66,236,15,0.01421,14.20883
WILLIAM,MALE,ASIAN AND PACIFIC ISLANDER,66,237,15,0.01421,14.20883
ISABELLA,FEMALE,WHITE NON HISPANIC,160,56,9,0.01418,14.18440
FIONA,FEMALE,ASIAN AND PACIFIC ISLANDER,48,346,9,0.01404,14.04330
MATTHEW,MALE,WHITE NON HISPANIC,189,27,9,0.01390,13.89910
JUSTIN,MALE,BLACK NON HISPANIC,85,166,14,0.01385,13.85493
AUSTIN,MALE,ASIAN AND PACIFIC ISLANDER,64,247,16,0.01378,13.77826
ANGELA,FEMALE,ASIAN AND PACIFIC ISLANDER,47,352,10,0.01375,13.75073
DAVID,MALE,BLACK NON HISPANIC,84,171,15,0.01369,13.69193
NEVAEH,FEMALE,BLACK NON HISPANIC,60,266,7,0.01362,13.61779
MASON,MALE,BLACK NON HISPANIC,83,173,16,0.01353,13.52893
JOSHUA,MALE,HISPANIC,190,26,11,0.01351,13.51447
JACK,MALE,WHITE NON HISPANIC,183,33,10,0.01346,13.45786
AIDEN,MALE,HISPANIC,188,29,12,0.01337,13.37222
JACOB,MALE,BLACK NON HISPANIC,82,175,17,0.01337,13.36593
SAMUEL,MALE,WHITE NON HISPANIC,181,37,11,0.01331,13.31078
DANIEL,MALE,BLACK NON HISPANIC,81,178,18,0.01320,13.20293
BRANDON,MALE,HISPANIC,184,31,13,0.01309,13.08770
CHRISTOPHER,MALE,BLACK NON HISPANIC,80,182,19,0.01304,13.03993
JONATHAN,MALE,HISPANIC,183,34,14,0.01302,13.01657
KEVIN,MALE,HISPANIC,183,35,14,0.01302,13.01657
SEBASTIAN,MALE,HISPANIC,183,36,14,0.01302,13.01657
VIVIAN,FEMALE,ASIAN AND PACIFIC ISLANDER,44,383,11,0.01287,12.87303
DAVID,MALE,HISPANIC,178,40,15,0.01266,12.66093
ABRAHAM,MALE,WHITE NON HISPANIC,172,47,12,0.01265,12.64892
JAMES,MALE,WHITE NON HISPANIC,172,48,12,0.01265,12.64892
WILLIAM,MALE,WHITE NON HISPANIC,170,50,13,0.01250,12.50184
GABRIELLE,FEMALE,BLACK NON HISPANIC,55,289,8,0.01248,12.48298
MICHAEL,MALE,HISPANIC,174,44,16,0.01238,12.37641
MASON,MALE,HISPANIC,173,46,17,0.01231,12.30528
MICHELLE,FEMALE,ASIAN AND PACIFIC ISLANDER,42,398,12,0.01229,12.28789
JADEN,MALE,BLACK NON HISPANIC,75,195,20,0.01222,12.22494
JOHN,MALE,WHITE NON HISPANIC,166,52,14,0.01221,12.20768
HAILEY,FEMALE,HISPANIC,126,83,8,0.01214,12.13522
TAYLOR,FEMALE,BLACK NON HISPANIC,53,299,9,0.01203,12.02905
LEAH,FEMALE,HISPANIC,123,87,9,0.01185,11.84629
JADA,FEMALE,BLACK NON HISPANIC,52,313,10,0.01180,11.80209
OLIVIA,FEMALE,BLACK NON HISPANIC,52,314,10,0.01180,11.80209
SERENITY,FEMALE,BLACK NON HISPANIC,52,315,10,0.01180,11.80209
MADISON,FEMALE,HISPANIC,122,88,10,0.01175,11.74998
MALACHI,MALE,BLACK NON HISPANIC,72,205,21,0.01174,11.73594
CHANA,FEMALE,WHITE NON HISPANIC,132,72,10,0.01170,11.70213
MIRIAM,FEMALE,WHITE NON HISPANIC,131,73,11,0.01161,11.61348
ABIGAIL,FEMALE,BLACK NON HISPANIC,51,322,11,0.01158,11.57512
FATOUMATA,FEMALE,BLACK NON HISPANIC,51,323,11,0.01158,11.57512
DYLAN,MALE,ASIAN AND PACIFIC ISLANDER,53,300,17,0.01141,11.41012
CHARLOTTE,FEMALE,WHITE NON HISPANIC,127,80,12,0.01126,11.25887
ELLA,FEMALE,WHITE NON HISPANIC,127,81,12,0.01126,11.25887
NICHOLAS,MALE,WHITE NON HISPANIC,153,62,15,0.01125,11.25165
GABRIEL,MALE,HISPANIC,158,57,18,0.01124,11.23835
ALEX,MALE,ASIAN AND PACIFIC ISLANDER,52,316,18,0.01119,11.19483
ADRIAN,MALE,HISPANIC,157,58,19,0.01117,11.16722
NOAH,MALE,HISPANIC,157,59,19,0.01117,11.16722
JOANNA,FEMALE,ASIAN AND PACIFIC ISLANDER,38,446,13,0.01112,11.11761
SARAH,FEMALE,ASIAN AND PACIFIC ISLANDER,38,447,13,0.01112,11.11761
AARON,MALE,ASIAN AND PACIFIC ISLANDER,51,324,19,0.01098,10.97955
EVAN,MALE,ASIAN AND PACIFIC ISLANDER,51,325,19,0.01098,10.97955
BRIANNA,FEMALE,HISPANIC,114,101,11,0.01098,10.97949
EMMA,FEMALE,HISPANIC,114,102,11,0.01098,10.97949
VICTORIA,FEMALE,HISPANIC,114,103,11,0.01098,10.97949
HENRY,MALE,WHITE NON HISPANIC,149,65,16,0.01096,10.95749
SOFIA,FEMALE,WHITE NON HISPANIC,122,89,13,0.01082,10.81560
CHAIM,MALE,WHITE NON HISPANIC,147,66,17,0.01081,10.81041
JONATHAN,MALE,ASIAN AND PACIFIC ISLANDER,50,333,20,0.01076,10.76426
ANTHONY,MALE,BLACK NON HISPANIC,66,238,22,0.01076,10.75795
CHRISTIAN,MALE,HISPANIC,151,63,20,0.01074,10.74045
EMILY,FEMALE,WHITE NON HISPANIC,119,96,14,0.01055,10.54965
JACOB,MALE,ASIAN AND PACIFIC ISLANDER,49,343,21,0.01055,10.54898
MIA,FEMALE,ASIAN AND PACIFIC ISLANDER,36,481,14,0.01053,10.53248
MELANIE,FEMALE,HISPANIC,109,107,12,0.01050,10.49793
FAITH,FEMALE,BLACK NON HISPANIC,46,363,12,0.01044,10.44031
NATHANIEL,MALE,BLACK NON HISPANIC,64,248,23,0.01043,10.43195
JULIA,FEMALE,WHITE NON HISPANIC,116,99,15,0.01028,10.28369
MIA,FEMALE,WHITE NON HISPANIC,116,100,15,0.01028,10.28369
JOSE,MALE,HISPANIC,144,67,21,0.01024,10.24255
IVY,FEMALE,ASIAN AND PACIFIC ISLANDER,35,500,15,0.01024,10.23991
ALEXANDER,MALE,ASIAN AND PACIFIC ISLANDER,47,353,22,0.01012,10.11841
RIVKA,FEMALE,WHITE NON HISPANIC,113,104,16,0.01002,10.01773
JOSEPH,MALE,HISPANIC,140,68,22,0.00996,9.95803
LIAM,MALE,BLACK NON HISPANIC,61,261,24,0.00994,9.94295
ANTHONY,MALE,WHITE NON HISPANIC,135,70,18,0.00993,9.92793
KIMBERLY,FEMALE,HISPANIC,103,116,13,0.00992,9.92006
ANTHONY,MALE,ASIAN AND PACIFIC ISLANDER,46,364,23,0.00990,9.90312
MOHAMMAD,MALE,ASIAN AND PACIFIC ISLANDER,46,365,23,0.00990,9.90312
ANDREW,MALE,WHITE NON HISPANIC,133,71,19,0.00978,9.78085
NYLA,FEMALE,BLACK NON HISPANIC,43,391,13,0.00976,9.75942
ZOE,FEMALE,BLACK NON HISPANIC,43,392,13,0.00976,9.75942
KYLE,MALE,ASIAN AND PACIFIC ISLANDER,45,376,24,0.00969,9.68784
DYLAN,MALE,HISPANIC,136,69,23,0.00967,9.67352
ALEXANDRA,FEMALE,WHITE NON HISPANIC,109,108,17,0.00966,9.66312
GRACE,FEMALE,ASIAN AND PACIFIC ISLANDER,33,538,16,0.00965,9.65477
NICOLE,FEMALE,ASIAN AND PACIFIC ISLANDER,33,539,16,0.00965,9.65477
LIAM,MALE,WHITE NON HISPANIC,131,74,20,0.00963,9.63377
SAMANTHA,FEMALE,HISPANIC,100,127,14,0.00963,9.63113
MATTHEW,MALE,BLACK NON HISPANIC,59,274,25,0.00962,9.61695
KHLOE,FEMALE,BLACK NON HISPANIC,42,399,14,0.00953,9.53246
NYLAH,FEMALE,BLACK NON HISPANIC,42,400,14,0.00953,9.53246
