ETHAN,MALE,ASIAN AND PACIFIC ISLANDER,177,41,1,,,
JAYDEN,MALE,ASIAN AND PACIFIC ISLANDER,173,45,2,,,
RYAN,MALE,ASIAN AND PACIFIC ISLANDER,150,64,3,,,
JUSTIN,MALE,ASIAN AND PACIFIC ISLANDER,110,105,4,,,
LUCAS,MALE,ASIAN AND PACIFIC ISLANDER,103,115,5,,,
JASON,MALE,ASIAN AND PACIFIC ISLANDER,98,134,6,,,
AIDEN,MALE,ASIAN AND PACIFIC ISLANDER,96,137,7,,,
KEVIN,MALE,ASIAN AND PACIFIC ISLANDER,92,149,8,,,
ERIC,MALE,ASIAN AND PACIFIC ISLANDER,85,165,9,,,
DANIEL,MALE,ASIAN AND PACIFIC ISLANDER,84,170,10,,,
